[2024-10-06T21:07:01.754+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: flight_data_pipeline.upload_to_db scheduled__2024-10-05T00:00:00+00:00 [queued]>
[2024-10-06T21:07:01.764+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: flight_data_pipeline.upload_to_db scheduled__2024-10-05T00:00:00+00:00 [queued]>
[2024-10-06T21:07:01.764+0000] {taskinstance.py:1361} INFO - Starting attempt 15 of 15
[2024-10-06T21:07:01.779+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): upload_to_db> on 2024-10-05 00:00:00+00:00
[2024-10-06T21:07:01.785+0000] {standard_task_runner.py:57} INFO - Started process 69 to run task
[2024-10-06T21:07:01.789+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'flight_data_pipeline', 'upload_to_db', 'scheduled__2024-10-05T00:00:00+00:00', '--job-id', '136', '--raw', '--subdir', 'DAGS_FOLDER/flights_dag.py', '--cfg-path', '/tmp/tmpsjwxv1gj']
[2024-10-06T21:07:01.791+0000] {standard_task_runner.py:85} INFO - Job 136: Subtask upload_to_db
[2024-10-06T21:07:01.812+0000] {logging_mixin.py:154} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-10-06T21:07:02.044+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Seoul (Incheon)', 'Asia-Seoul', 'Abu Dhabi International', 'Asia/Dubai', 'TA', 'Oman Air', '5127')
[2024-10-06T21:07:02.044+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Seoul (Incheon)', 'Asia-Seoul', 'Abu Dhabi International', 'Asia/Dubai', 'TA', 'Royal Jordanian', '3632')
[2024-10-06T21:07:02.044+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Seoul (Incheon)', 'Asia-Seoul', 'Abu Dhabi International', 'Asia/Dubai', 'TA', 'Asiana Airlines', '6968')
[2024-10-06T21:07:02.045+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Haneda Airport', 'Asia-Tokyo', 'Singapore Changi', 'Asia/Singapore', '1', 'Vistara', '2005')
[2024-10-06T21:07:02.045+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Noibai International', 'Asia-Ho_Chi_Minh', 'Chu-Bu Centrair International (Central Japan International)', 'Asia/Tokyo', '1', 'FlexFlight', '4920')
[2024-10-06T21:07:02.045+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Sydney Kingsford Smith Airport', 'Australia-Sydney', 'Gold Coast (coolangatta)', 'Australia/Brisbane', '1', 'IndiGo', '4736')
[2024-10-06T21:07:02.045+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Sydney Kingsford Smith Airport', 'Australia-Sydney', 'Gold Coast (coolangatta)', 'Australia/Brisbane', '1', 'Air New Zealand', '7601')
[2024-10-06T21:07:02.046+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Townsville International', 'Australia-Brisbane', 'Brisbane International', 'Australia/Brisbane', 'D', 'Virgin Australia', '362')
[2024-10-06T21:07:02.046+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Townsville International', 'Australia-Brisbane', 'Brisbane International', 'Australia/Brisbane', 'D', 'Singapore Airlines', '6535')
[2024-10-06T21:07:02.046+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Brisbane International', 'Australia-Brisbane', 'Mackay', 'Australia/Brisbane', 'D', 'Emirates', '5315')
[2024-10-06T21:07:02.046+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Brisbane International', 'Australia-Brisbane', 'Sydney Kingsford Smith Airport', 'Australia/Sydney', '3', 'IndiGo', '4663')
[2024-10-06T21:07:02.047+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Brisbane International', 'Australia-Brisbane', 'Sydney Kingsford Smith Airport', 'Australia/Sydney', '3', 'China Eastern Airlines', '4064')
